73.8,0.083,0.119,34055.6962
74.5,0.083,0.085,29814.68354
74.5,0.08,0.1,29128.10127
75,0.083,0.096,28228.86076
75.7,0.081,0.085,27335.6962
76.9,0.081,0.108,26624.81013
77.7,0.08,0.096,25998.98734
78.2,0.085,0.093,25446.07595
78.1,0.081,0.141,24777.72152
77.3,0.082,0.111,24279.49367
77.5,0.081,0.108,23896.70886
76.7,0.083,0.126,23544.3038
78.6,0.081,0.096,23003.5443
78.8,0.084,0.134,22329.11392
78.9,0.083,0.152,22092.1519
79.1,0.083,0.096,21903.79747
79.7,0.081,0.134,21685.06329
78.5,0.082,0.163,21484.55696
77.9,0.083,0.108,21107.8481
77.7,0.084,0.13,20998.48101
77.2,0.081,0.152,20870.88608
76.9,0.083,0.185,20870.88608
76.6,0.085,0.137,20597.46835
76.2,0.081,0.134,20421.26582
75.7,0.083,0.134,20524.55696
74.4,0.083,0.122,20482.02532
74.1,0.085,0.096,20530.63291
71.9,0.081,0.1,20512.40506
74,0.079,0.148,20494.17722
74.2,0.083,0.137,20311.89873
72.9,0.082,0.134,20542.78481
75.8,0.08,0.152,20621.77215
74,0.082,0.093,20627.8481
73.5,0.08,0.104,20797.97468
76.9,0.081,0.148,20858.73418
78.3,0.081,0.082,21393.41772
77.2,0.081,0.126,22219.74684
74.3,0.08,0.156,21928.10127
75.6,0.082,0.063,21776.20253
73.7,0.083,0.096,21654.68354
76.7,0.082,0.119,21466.32911
77,0.085,0.193,20846.58228
76,0.082,0.152,19983.79747
74.6,0.084,0.134,18908.35443
74.3,0.082,0.119,18167.08861
72.3,0.082,0.119,18075.94937
72.2,0.083,0.089,18063.79747
71,0.083,0.104,18045.56962
72,0.084,0.145,18385.82278
73.1,0.082,0.949,18987.34177
73.5,0.083,3.134,19576.70886
74.5,0.084,6.494,19837.97468
74.8,0.082,10.13,20166.07595
73.7,0.081,17,20676.4557
71.8,0.083,20.15,21296.20253
74.1,0.082,22.55,22043.5443
74.8,0.083,24.3,22651.13924
74,0.082,26.9,23131.13924
74.7,0.081,28.19,23641.51899
74.5,0.082,29.2,24668.35443
73.7,0.076,29.23,25275.94937
71.3,2.66,31.01,25920
69.85,4.93,31.96,26393.92405
68.81,4.924,32.42,26861.77215
68.01,4.923,33.22,27511.89873
66.14,4.918,33.41,28149.87342
64.21,4.916,33.43,28714.93671
61.9,4.916,33.89,29043.03797
59.3,2.451,34.4,29261.77215
56.03,0.084,35.29,29474.43038
53.52,0.082,37.58,29523.03797
53.26,0.08,43.46,29711.39241
54.36,0.077,43.2,29644.55696
54.42,0.076,37.92,29802.53165
56.46,0.074,38.81,29887.59494
58.7,0.075,39.46,30039.49367
59.23,0.076,40.92,29966.58228
59.3,0.076,40.9,29996.96203
58.06,0.077,40.94,30258.22785
58.7,0.077,42.75,30404.05063
59.33,0.076,44.65,30094.17722
58.6,0.079,44.26,30161.01266
55.29,0.074,39.32,30318.98734
52.45,0.077,38.65,30154.93671
54.99,0.079,39.49,29984.81013
56.66,0.076,39.94,30021.26582
55.86,0.077,39.95,30021.26582
54.06,0.075,41.52,29911.89873
55.56,0.075,44.13,29747.8481
56.69,0.077,43.87,29705.31646
57.26,0.077,44.9,29571.64557
57.96,0.074,46.89,29553.41772
58.93,0.075,51.51,29383.29114
58.7,0.073,57.14,29061.26582
57.6,0.075,60.31,28885.06329
58.7,0.075,67.85,28854.68354
59.23,0.077,128.9,28836.4557
57.46,0.074,219.1,28708.86076
58.3,0.076,246,28556.96203
58.8,0.077,248.1,28514.43038
57.73,0.075,231.6,28666.32911
58.23,0.077,211.9,29097.72152
59.07,0.076,201.7,29723.5443
